epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.44547,1.65266,2.47654,1.45189,0.00689,0.83333,0.27795,0.14892,1.51367,2.78644,1.28993,0.00058,0.00058,0.00058
2,12.5545,1.57131,1.80489,1.38226,0.6924,0.30013,0.3777,0.18882,1.6963,2.44317,1.53891,0.00116702,0.00116702,0.00116702
3,15.6711,1.63355,1.77182,1.422,0.3692,0.26061,0.23263,0.10746,1.87859,2.42209,1.90579,0.00174084,0.00174084,0.00174084
4,18.6383,1.61339,1.70383,1.39287,0.45408,0.33939,0.35137,0.18331,1.79059,2.2903,1.71937,0.001934,0.001934,0.001934
5,21.6204,1.56887,1.53462,1.36834,0.39953,0.29697,0.27598,0.13581,1.9213,2.33998,1.65818,0.001912,0.001912,0.001912
6,24.6183,1.57783,1.51475,1.38527,0.54327,0.46061,0.45612,0.22708,1.71867,1.82131,1.58026,0.00189,0.00189,0.00189
7,27.5913,1.53273,1.50052,1.34562,0.59108,0.43939,0.49384,0.24187,1.70517,1.77373,1.58775,0.001868,0.001868,0.001868
8,30.5972,1.52068,1.41112,1.32417,0.7222,0.5,0.57544,0.30461,1.58264,1.65026,1.43838,0.001846,0.001846,0.001846
9,33.551,1.50778,1.42498,1.34276,0.61738,0.53939,0.591,0.32224,1.5269,1.53601,1.39657,0.001824,0.001824,0.001824
10,36.5352,1.44615,1.37787,1.32189,0.65269,0.50303,0.5474,0.31058,1.56872,1.54553,1.42125,0.001802,0.001802,0.001802
11,39.5711,1.47621,1.44862,1.34288,0.62012,0.56061,0.59585,0.31328,1.62923,1.68143,1.45589,0.00178,0.00178,0.00178
12,42.519,1.43981,1.31184,1.31252,0.62137,0.57576,0.59841,0.32362,1.49861,1.77501,1.41333,0.001758,0.001758,0.001758
13,45.5168,1.41072,1.25906,1.28026,0.62943,0.6125,0.65661,0.35087,1.52919,1.35881,1.41591,0.001736,0.001736,0.001736
14,48.4766,1.40766,1.19847,1.26207,0.63835,0.57273,0.58448,0.32329,1.55526,1.42351,1.40974,0.001714,0.001714,0.001714
15,51.4954,1.42612,1.22472,1.24627,0.7746,0.53333,0.65019,0.3717,1.49125,1.32124,1.35337,0.001692,0.001692,0.001692
16,54.5228,1.39518,1.21738,1.27571,0.68473,0.58182,0.65265,0.36365,1.51267,1.35225,1.35602,0.00167,0.00167,0.00167
17,57.5223,1.36861,1.2412,1.24868,0.78075,0.57879,0.68415,0.39056,1.44547,1.37163,1.33767,0.001648,0.001648,0.001648
18,60.5436,1.36437,1.15755,1.25392,0.77366,0.59042,0.67576,0.37686,1.48817,1.29923,1.35308,0.001626,0.001626,0.001626
19,63.4769,1.37123,1.16195,1.27404,0.71972,0.58485,0.6608,0.362,1.51253,1.53046,1.35976,0.001604,0.001604,0.001604
20,66.4094,1.29373,1.2947,1.19637,0.77998,0.55152,0.66587,0.36886,1.52338,1.31563,1.38296,0.001582,0.001582,0.001582
21,69.3767,1.34797,1.14359,1.24609,0.67278,0.59091,0.64425,0.3565,1.54168,1.4494,1.39751,0.00156,0.00156,0.00156
22,72.3919,1.34005,1.12289,1.25697,0.74006,0.63939,0.68893,0.39538,1.44613,1.30315,1.34838,0.001538,0.001538,0.001538
23,75.3335,1.3354,1.11145,1.22577,0.77849,0.60909,0.70543,0.39734,1.47248,1.21886,1.33237,0.001516,0.001516,0.001516
24,78.3058,1.31416,1.12113,1.22022,0.74259,0.65758,0.72056,0.41042,1.42601,1.16219,1.3204,0.001494,0.001494,0.001494
25,81.4035,1.31344,1.0853,1.2456,0.74394,0.60748,0.70461,0.40142,1.44281,1.29593,1.35299,0.001472,0.001472,0.001472
26,84.5294,1.33519,1.09667,1.25161,0.78842,0.58788,0.69502,0.39581,1.49486,1.31748,1.38754,0.00145,0.00145,0.00145
27,87.4691,1.30012,1.07426,1.20909,0.81397,0.65455,0.7507,0.4463,1.38576,1.17067,1.30029,0.001428,0.001428,0.001428
28,90.4629,1.27855,1.06852,1.19838,0.70122,0.64242,0.69008,0.38948,1.51187,1.25197,1.38535,0.001406,0.001406,0.001406
29,93.3876,1.27903,1.11168,1.19835,0.74434,0.64242,0.70998,0.39978,1.52649,1.17363,1.40039,0.001384,0.001384,0.001384
30,96.5144,1.28869,1.02859,1.19904,0.71075,0.63939,0.69119,0.40043,1.4513,1.24707,1.32452,0.001362,0.001362,0.001362
31,99.5251,1.27267,0.9932,1.19577,0.69417,0.67879,0.70607,0.41157,1.46158,1.18537,1.32997,0.00134,0.00134,0.00134
32,102.452,1.22884,0.94545,1.18659,0.79058,0.66351,0.75064,0.44329,1.39756,1.14827,1.29933,0.001318,0.001318,0.001318
33,105.412,1.23627,0.9696,1.17909,0.74098,0.65017,0.72381,0.41596,1.43577,1.19698,1.32683,0.001296,0.001296,0.001296
34,108.518,1.23028,0.97648,1.1635,0.69481,0.66919,0.71285,0.41594,1.44581,1.15726,1.3503,0.001274,0.001274,0.001274
35,111.468,1.24495,0.95324,1.18003,0.70249,0.64848,0.66753,0.39443,1.44909,1.21285,1.34263,0.001252,0.001252,0.001252
36,114.447,1.24087,1.14737,1.1939,0.77216,0.62424,0.71426,0.43134,1.36577,1.17299,1.27604,0.00123,0.00123,0.00123
37,117.364,1.22168,1.20817,1.14343,0.75189,0.65455,0.72644,0.45376,1.36415,1.15936,1.29985,0.001208,0.001208,0.001208
38,120.456,1.22611,0.96475,1.1557,0.68575,0.66788,0.69604,0.42884,1.36769,1.17271,1.3365,0.001186,0.001186,0.001186
39,123.378,1.19786,0.94048,1.15296,0.80945,0.61212,0.71464,0.42436,1.44186,1.10709,1.31706,0.001164,0.001164,0.001164
40,126.361,1.21939,0.91682,1.15269,0.83871,0.59697,0.72936,0.42161,1.44899,1.10061,1.36661,0.001142,0.001142,0.001142
41,129.323,1.18101,0.90568,1.16264,0.84614,0.60303,0.72328,0.42622,1.42527,1.09692,1.35891,0.00112,0.00112,0.00112
42,132.386,1.2235,0.93441,1.17293,0.79645,0.57576,0.68617,0.41262,1.40657,1.2367,1.31581,0.001098,0.001098,0.001098
43,135.358,1.18406,0.91605,1.14788,0.78349,0.65795,0.73978,0.45062,1.38999,1.09602,1.32883,0.001076,0.001076,0.001076
44,138.359,1.1747,0.88429,1.15262,0.7542,0.65455,0.7395,0.45174,1.38474,1.03207,1.31301,0.001054,0.001054,0.001054
45,141.307,1.17578,0.88189,1.14314,0.77711,0.65504,0.73458,0.44736,1.40663,1.11102,1.32157,0.001032,0.001032,0.001032
46,144.354,1.10877,0.85953,1.109,0.78525,0.67273,0.73932,0.44649,1.44726,1.07511,1.36528,0.00101,0.00101,0.00101
47,147.251,1.14573,0.86906,1.13684,0.78722,0.67266,0.73326,0.4502,1.38817,1.08847,1.29954,0.000988,0.000988,0.000988
48,150.263,1.14946,0.87649,1.12694,0.80397,0.6303,0.73235,0.43291,1.44484,1.09636,1.32056,0.000966,0.000966,0.000966
49,153.234,1.12087,0.84361,1.11139,0.81899,0.64242,0.74044,0.45683,1.42134,1.06346,1.3175,0.000944,0.000944,0.000944
